"date","air_tavg","air_tmax","air_tmin","et_short_crop","et_tall_crop","rainfall"
2022-01-01,23.8,32.5,16.7,7.4,8.73,0
2022-01-02,25.4,36.1,14.4,7.48,8.66,0
2022-01-03,28,39.9,16.6,8.27,9.93,0
2022-01-04,26.1,36.3,17.3,8.35,10.23,0
2022-01-05,27.3,39.1,16.1,7.63,8.93,0
2022-01-06,30.6,41.8,18.7,8.34,9.84,0
2022-01-07,29.6,41.3,18.3,8.7,10.54,0
2022-01-08,27.8,38.2,18.4,8.83,10.91,0
2022-01-09,22.4,30.3,14.4,7.68,9.39,0
2022-01-10,22.2,31,12.8,6.89,8.21,0
2022-01-11,26.7,39.3,14.3,7.88,9.4,0.4
2022-01-12,28.6,40.2,20,8.61,10.56,0
2022-01-13,25.7,36,17.9,7.5,8.73,0
2022-01-14,26.2,36.3,18.2,7.73,9.18,0
2022-01-15,24.8,34.6,17.1,7.71,9.1,0
2022-01-16,25.8,35.4,18,8.19,10.01,0
2022-01-17,26.3,37.6,15.4,7.53,8.89,0
2022-01-18,31.8,42.6,19.9,7.43,8.84,0
2022-01-19,32.9,42.6,22.8,8.06,9.75,0
2022-01-20,31.2,42.9,18.2,7.77,9.32,0
2022-01-21,32.2,42.3,20.6,8.03,9.71,0
2022-01-22,31.8,42.4,20.5,7.84,9.39,0
2022-01-23,31.4,42.9,21.1,8.11,9.75,0
2022-01-24,24.4,32.4,18.2,8.14,10.35,0
2022-01-25,22,30.6,14.3,5.21,6.62,0
2022-01-26,24,33.8,14.4,6.99,8.07,0
2022-01-27,24.6,33.3,17,7.59,9.19,0
2022-01-28,26.1,37.2,14.6,7.6,9.17,0
2022-01-29,30.2,41.2,19.2,6.54,7.98,0
2022-01-30,31.2,41.6,20.8,7.89,9.5,0
2022-01-31,23.4,31.1,18.6,7.71,9.74,0
2022-02-01,22.5,31,15.6,7.58,9.5,0
2022-02-02,24.9,34.3,16,7.19,8.69,0
2022-02-03,29.1,39,18.5,7.39,8.87,0
2022-02-04,32.1,42.4,22.1,7.22,8.7,0
2022-02-05,32.1,44.5,18,7.48,9.1,0
2022-02-06,24.8,37.6,19.5,6.68,8.62,0
2022-02-07,19.7,26.2,13.9,6.32,7.83,0
2022-02-08,21.3,31.5,11.1,6.44,7.43,0
2022-02-09,24.7,34.8,15.7,6.62,7.77,0
2022-02-10,29.4,42.1,16,7.21,8.49,0
2022-02-11,31.4,41.7,23.4,7.81,9.98,0
2022-02-12,27.2,35.7,19.3,6.87,8.27,0
2022-02-13,26.4,36,19,6.58,7.76,0
2022-02-14,27.5,39.3,20.4,5.22,6.31,0
2022-02-15,28.7,39.1,18.9,6.32,7.14,2.8
2022-02-16,31,40.5,21.3,7.44,8.83,0
2022-02-17,27.4,38.5,16.4,7.1,8.36,0
2022-02-18,28.1,39.3,16.7,6.76,7.88,0
2022-02-19,29.3,41.6,15.7,7.39,8.95,0
2022-02-20,26.7,35.8,18.2,7.57,9.35,0
2022-02-21,26.4,37,16.7,6.33,7.33,0
2022-02-22,29.3,39.8,18.1,7.07,8.47,0
2022-02-23,24.9,33.2,19.3,7.36,9.3,0
2022-02-24,27.1,38.5,18.2,6.74,8.13,0
2022-02-25,27.7,40.2,17.9,6.39,7.75,0
2022-02-26,26.2,35,19.7,7.17,8.89,0
2022-02-27,25.6,34.4,19,6.96,8.68,0
2022-02-28,27.2,38.1,18.4,7.12,8.74,0
2022-03-01,23.5,31.1,20,5.5,6.78,0
2022-03-02,18,23.3,14.7,2.54,3.12,0
2022-03-03,18.5,28,8.8,5.75,7.01,1.4
2022-03-04,20.6,30.3,10.8,5.9,7.1,0
2022-03-05,23.6,33.1,14.4,5.96,7.02,0
2022-03-06,25.9,35.1,16.5,6.04,7.12,0
2022-03-07,26,34.1,18.4,6.57,8.05,0
2022-03-08,24.8,34.8,16.1,6.03,7.14,0
2022-03-09,26.5,36.5,16.3,5.47,6.46,0
2022-03-10,28.2,38.8,15.7,5.58,6.61,0
2022-03-11,29,39.2,18.6,4.29,5.57,0
2022-03-12,25.7,34,19.4,6.23,7.8,0
2022-03-13,24.2,31.5,17.2,4.71,5.53,0
2022-03-14,24,33.9,16.4,5.31,6.03,0
2022-03-15,22.8,29.4,18.8,3.48,4.29,0
2022-03-16,21.2,29.3,15.1,4.44,5.35,0
2022-03-17,23,34.4,13.4,4.72,5.22,0
2022-03-18,25.7,39.1,13.5,5.48,7.01,0
2022-03-19,24,29.9,18.7,4.36,5.61,0
2022-03-20,24,33.2,18.4,4.51,5.6,0
2022-03-21,21.9,28.8,18.7,3.75,4.87,0
2022-03-22,19.4,28.1,12.4,4.59,5.59,0
2022-03-23,19.9,28.7,11,5.26,6.38,0
2022-03-24,21.2,30.9,12.2,5.04,6.04,0
2022-03-25,25.3,36.4,12.4,4.63,5.63,0
2022-03-26,26,32.3,21.5,3.47,4.3,0.4
2022-03-27,20.7,23.2,20.2,1.57,2.2,0.2
2022-03-28,18.8,23.2,16.3,1.33,1.6,8.8
2022-03-29,22.7,29.5,16.6,3.41,3.96,8
2022-03-30,20.9,23.1,19.3,1.6,1.92,0.4
2022-03-31,22.5,28.2,18.1,3.65,4.12,3.2
2022-04-01,24.3,30.2,18.5,2.31,2.7,0
2022-04-02,24.6,31.2,20,3.25,3.93,2.2
2022-04-03,21.1,25.6,17.9,1.23,1.31,0
2022-04-04,19.7,22.7,18.2,1.8,2.28,13
2022-04-05,16.6,24.2,10.4,3.84,4.42,0
2022-04-06,18.8,27.3,11.6,3.9,4.38,0
2022-04-07,20.9,31,11,4.1,4.67,0
2022-04-08,20.7,28.8,14.3,3.75,4.85,0
2022-04-09,17.7,23.5,13.3,3.28,3.94,0
2022-04-10,17.1,24,12.7,3.05,3.69,0
2022-04-11,16,20,13.7,1.73,1.92,3.2
2022-04-12,18.1,25.2,13.1,3.06,3.87,0
2022-04-13,17.7,25.7,11.2,2.99,3.49,0
2022-04-14,16.9,23.6,11,2.5,2.93,0
2022-04-15,19.7,29,10.9,3.11,3.44,0
2022-04-16,19.6,28.5,11.8,3.84,4.6,0
2022-04-17,17.1,23.9,12.8,3.51,4.29,0
2022-04-18,14.6,23.9,6.4,3.18,3.58,0
2022-04-19,16.6,26.8,7.2,3.34,3.87,0
2022-04-20,17.3,26,10.4,3.08,3.54,0
2022-04-21,18.5,27.3,11.2,3.49,4.18,0
2022-04-22,18,26.3,11,3.36,4.03,0
2022-04-23,17.9,26.3,10.9,3.43,4.07,0
2022-04-24,19.1,28.9,10.1,3.34,3.92,0
2022-04-25,21.6,31.9,13.1,3.89,5.36,0
2022-04-26,17.4,23.1,14.4,2.35,3.06,2.4
2022-04-27,15.7,21.2,12.5,2.32,2.84,11.8
2022-04-28,15.4,22.7,10.6,2.39,2.91,0.4
2022-04-29,13.6,22.2,5.4,2.65,2.99,0
2022-04-30,14.7,25,6.1,2.71,2.99,0
2022-05-01,15.8,27.1,6.3,2.78,3.11,0
2022-05-02,16.6,26.3,7.2,3.07,3.57,0
2022-05-03,16.5,22.5,14.6,2.76,3.42,0
2022-05-04,14.3,20,10.1,2.75,3.45,0
2022-05-05,14,21.1,9.2,3.06,3.77,0
2022-05-06,14.4,22.8,6.6,2.94,3.57,0
2022-05-07,13.1,25.9,2.8,2.57,2.9,0
2022-05-08,15.5,28.2,4.8,2.77,3.33,0
2022-05-09,16.1,27.9,6.5,2.58,2.9,0
2022-05-10,16.8,27,7.8,3.02,3.8,0
2022-05-11,15.8,23.3,8.3,1.79,2.08,0
2022-05-12,13.7,18.7,12,0.44,0.53,2.6
2022-05-13,13.6,18.5,9.6,2.07,2.6,15.4
2022-05-14,14.8,20.4,9.9,1.95,2.4,0
